Country,Date,Cases,Deaths
Sierra Leone,16/3/2015,11742,3687
Senegal,16/3/2015,1,0
Nigeria,16/3/2015,20,8
Spain,16/3/2015,1,0
United States of America,16/3/2015,4,1
Liberia,16/3/2015,9482,4241
United Kingdom,16/3/2015,1,0
Guinea,17/3/2015,3389,2224
Mali,17/3/2015,8,6
Nigeria,17/3/2015,20,8
Senegal,17/3/2015,1,0
Sierra Leone,17/3/2015,11751,3691
Liberia,17/3/2015,9526,4264
Spain,17/3/2015,1,0
United Kingdom,17/3/2015,1,0
United States of America,17/3/2015,4,1
Liberia,18/3/2015,9526,4264
Sierra Leone,18/3/2015,11751,3691
Spain,18/3/2015,1,0
Guinea,18/3/2015,3389,2224
United Kingdom,18/3/2015,1,0
Nigeria,18/3/2015,20,8
Senegal,18/3/2015,1,0
Mali,18/3/2015,8,6
United States of America,18/3/2015,4,1
United Kingdom,20/3/2015,1,0
Guinea,20/3/2015,3404,2241
Sierra Leone,20/3/2015,11794,3712
United States of America,20/3/2015,4,1
Nigeria,20/3/2015,20,8
Senegal,20/3/2015,1,0
Spain,20/3/2015,1,0
Mali,20/3/2015,8,6
Liberia,20/3/2015,9555,4283
United States of America,23/3/2015,4,1
Senegal,23/3/2015,1,0
Liberia,23/3/2015,9593,4296
Mali,23/3/2015,8,6
Sierra Leone,23/3/2015,11829,3742
United Kingdom,23/3/2015,1,0
Guinea,23/3/2015,3420,2261
Spain,23/3/2015,1,0
Nigeria,23/3/2015,20,8
Senegal,24/3/2015,1,0
Sierra Leone,24/3/2015,11841,3747
Guinea,24/3/2015,3429,2263
Spain,24/3/2015,1,0
Nigeria,24/3/2015,20,8
Mali,24/3/2015,8,6
United Kingdom,24/3/2015,1,0
United States of America,24/3/2015,4,1
Liberia,24/3/2015,9602,4301
Senegal,25/3/2015,1,0
Liberia,25/3/2015,9602,4301
Spain,25/3/2015,1,0
Mali,25/3/2015,8,6
Sierra Leone,25/3/2015,11841,3747
United Kingdom,25/3/2015,1,0
Guinea,25/3/2015,3429,2263
Nigeria,25/3/2015,20,8
United States of America,25/3/2015,4,1
Spain,26/3/2015,1,0
Guinea,26/3/2015,3459,2273
Senegal,26/3/2015,1,0
Sierra Leone,26/3/2015,11866,3764
Liberia,26/3/2015,9602,4301
Mali,26/3/2015,8,6
Nigeria,26/3/2015,20,8
United Kingdom,26/3/2015,1,0
United States of America,26/3/2015,4,1
Liberia,27/3/2015,9602,4301
Spain,27/3/2015,1,0
Mali,27/3/2015,8,6
Nigeria,27/3/2015,20,8
Senegal,27/3/2015,1,0
United Kingdom,27/3/2015,1,0
United States of America,27/3/2015,4,1
Guinea,27/3/2015,3466,2276
